Time,CPU Usage %,Memory Avaliable GB
50:05.8,11,5.949207306
50:16.0,15.9,5.720230103
50:26.1,26.5,5.429294586
50:36.2,12,5.687362671
50:46.4,11.4,5.724761963
50:56.5,9.8,5.379905701
51:06.7,11.6,5.809780121
51:16.9,9.2,5.615394592
51:27.0,4.1,5.859699249
51:37.1,4.1,5.899864197
51:47.3,6.3,5.85502243
51:57.4,4,6.686016083
52:07.5,4.3,6.674686432
52:17.7,6.2,6.660842896
52:27.8,8.8,6.640499115
52:37.9,5.3,6.622398376
52:48.0,7.9,6.565582275
52:58.2,8.1,6.529449463
53:08.4,6.4,6.629947662
53:18.5,4.1,6.759738922
53:28.7,4.2,6.79032135
53:38.8,5.4,6.745708466
53:49.0,4.7,6.806724548
53:59.1,10,6.632553101
54:09.2,6.8,6.656970978
54:19.4,5.7,6.620616913
54:29.5,5.7,6.597644806
54:39.6,4.5,6.671852112
54:49.8,4.9,6.70633316
54:59.9,4.1,6.741527557
55:10.0,3.6,6.727443695
55:20.2,4.8,6.810321808
55:30.3,5.6,6.821182251
